LOC,bug,PDA,LLOC,Parent,PUA,CLOC,LongName,Name,ID
5,,0,5,L913,2,0,com.sun.mirror.util.DeclarationFilter$1,DeclarationFilter$1,L919
5,,0,5,L926,2,0,com.sun.mirror.util.DeclarationFilter$2,DeclarationFilter$2,L934
5,,0,5,L939,2,0,com.sun.mirror.util.DeclarationFilter$3,DeclarationFilter$3,L944
5,,0,5,L949,2,0,com.sun.mirror.util.DeclarationFilter$4,DeclarationFilter$4,L954
5,,0,5,L957,2,0,com.sun.mirror.util.DeclarationFilter$5,DeclarationFilter$5,L961
36,,1,23,L890,1,11,com.sun.mirror.util.DeclarationFilter$AccessFilter,DeclarationFilter$AccessFilter,L897
215,,17,101,L877,0,97,com.sun.mirror.util.DeclarationScanner,DeclarationScanner,L1031
99,,17,19,L877,0,78,com.sun.mirror.util.DeclarationVisitor,DeclarationVisitor,L550
63,,3,12,L877,0,57,com.sun.mirror.util.DeclarationVisitors,DeclarationVisitors,L1156
24,,3,4,L877,0,26,com.sun.mirror.util.Declarations,Declarations,L197
166,,18,51,L877,0,111,com.sun.mirror.util.SimpleDeclarationVisitor,SimpleDeclarationVisitor,L1161
125,,14,38,L877,0,87,com.sun.mirror.util.SimpleTypeVisitor,SimpleTypeVisitor,L1239
97,,3,61,L877,1,27,com.sun.mirror.util.SourceOrderDeclScanner,SourceOrderDeclScanner,L1175
65,,0,52,L1175,2,3,com.sun.mirror.util.SourceOrderDeclScanner$SourceOrderComparator,SourceOrderDeclScanner$SourceOrderComparator,L1297
37,,0,26,L1297,11,0,com.sun.mirror.util.SourceOrderDeclScanner$SourceOrderComparator$DeclPartialOrder,SourceOrderDeclScanner$SourceOrderComparator$DeclPartialOrder,L1307
27,,4,5,L877,0,27,com.sun.mirror.util.SourcePosition,SourcePosition,L356
86,,13,14,L877,0,74,com.sun.mirror.util.TypeVisitor,TypeVisitor,L862
141,,11,16,L877,0,123,com.sun.mirror.util.Types,Types,L202
34,,2,11,L1484,1,28,org.eclipse.jdt.apt.core.build.AptBuilder,AptBuilder,L1493
12,,1,10,L1493,2,3,org.eclipse.jdt.apt.core.build.AptBuilder$SystemOutProgressMonitor,AptBuilder$SystemOutProgressMonitor,L1505
47,,1,39,L1484,3,22,org.eclipse.jdt.apt.core.build.JdtApt,JdtApt,L1523
44,,6,9,L1551,0,35,org.eclipse.jdt.apt.core.env.EclipseAnnotationProcessorEnvironment,EclipseAnnotationProcessorEnvironment,L1557
16,,2,6,L1551,0,17,org.eclipse.jdt.apt.core.env.EclipseAnnotationProcessorFactory,EclipseAnnotationProcessorFactory,L1582
26,,1,13,L1551,1,12,org.eclipse.jdt.apt.core.env.EnvironmentFactory,EnvironmentFactory,L1592
11,,1,5,L1551,0,9,org.eclipse.jdt.apt.core.env.Phase,Phase,L1571
777,,0,563,L1626,4,176,org.eclipse.jdt.apt.core.internal.APTDispatchRunnable,APTDispatchRunnable,L2215
5,,0,5,L2327,2,0,org.eclipse.jdt.apt.core.internal.APTDispatchRunnable$1,APTDispatchRunnable$1,L2336
44,,1,29,L2215,1,16,org.eclipse.jdt.apt.core.internal.APTDispatchRunnable$ReconcileEnvCallback,APTDispatchRunnable$ReconcileEnvCallback,L2216
568,,7,381,L1626,0,186,org.eclipse.jdt.apt.core.internal.AnnotationProcessorFactoryLoader,AnnotationProcessorFactoryLoader,L1645
85,,3,61,L1645,0,25,org.eclipse.jdt.apt.core.internal.AnnotationProcessorFactoryLoader$FactoryPathDeltaVisitor,AnnotationProcessorFactoryLoader$FactoryPathDeltaVisitor,L1735
41,,1,34,L1645,1,7,org.eclipse.jdt.apt.core.internal.AnnotationProcessorFactoryLoader$ResourceListener,AnnotationProcessorFactoryLoader$ResourceListener,L1715
243,,5,150,L1626,7,79,org.eclipse.jdt.apt.core.internal.AptCompilationParticipant,AptCompilationParticipant,L2082
5,,0,5,L2119,2,0,org.eclipse.jdt.apt.core.internal.AptCompilationParticipant$1,AptCompilationParticipant$1,L2123
230,,9,137,L1626,7,83,org.eclipse.jdt.apt.core.internal.AptPlugin,AptPlugin,L2553
110,,6,62,L1626,4,40,org.eclipse.jdt.apt.core.internal.AptProject,AptProject,L2156
28,,0,25,L1626,4,3,org.eclipse.jdt.apt.core.internal.ClassServiceFactory,ClassServiceFactory,L1973
33,,4,20,L1626,1,14,org.eclipse.jdt.apt.core.internal.ExtJarFactoryContainer,ExtJarFactoryContainer,L5704
232,,3,143,L1626,2,91,org.eclipse.jdt.apt.core.internal.FactoryPluginManager,FactoryPluginManager,L5727
4,,1,3,L1626,1,10,org.eclipse.jdt.apt.core.internal.IServiceFactory,IServiceFactory,L1677
216,,3,172,L1626,3,42,org.eclipse.jdt.apt.core.internal.JarClassLoader,JarClassLoader,L1811
66,,0,53,L1811,11,1,org.eclipse.jdt.apt.core.internal.JarClassLoader$JarCLInputStream,JarClassLoader$JarCLInputStream,L6593
100,,2,64,L1626,1,36,org.eclipse.jdt.apt.core.internal.JarFactoryContainer,JarFactoryContainer,L2021
105,,1,80,L1626,6,28,org.eclipse.jdt.apt.core.internal.LoadFailureHandler,LoadFailureHandler,L1721
23,,0,14,L1626,1,1,org.eclipse.jdt.apt.core.internal.Messages,Messages,L6813
9,,1,7,L1626,2,3,org.eclipse.jdt.apt.core.internal.NonEclipseImplementationException,NonEclipseImplementationException,L6820
53,,1,34,L1626,6,11,org.eclipse.jdt.apt.core.internal.PluginFactoryContainer,PluginFactoryContainer,L5744
40,,4,26,L1626,1,13,org.eclipse.jdt.apt.core.internal.VarJarFactoryContainer,VarJarFactoryContainer,L7471
51,,4,30,L1626,1,20,org.eclipse.jdt.apt.core.internal.WkspJarFactoryContainer,WkspJarFactoryContainer,L7464
17,,0,11,L2739,1,1,org.eclipse.jdt.apt.core.internal.build.Messages,Messages,L2742
101,,1,75,L2760,11,10,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedAnnotationElementDeclarationImpl,ASTBasedAnnotationElementDeclarationImpl,L3105
19,,0,16,L2760,4,0,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedConstructorDeclarationImpl,ASTBasedConstructorDeclarationImpl,L3185
172,,1,148,L2760,10,16,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedDeclarationImpl,ASTBasedDeclarationImpl,L3204
83,,0,71,L2760,9,2,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedExecutableDeclarationImpl,ASTBasedExecutableDeclarationImpl,L3186
88,,1,65,L2760,8,22,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedFieldDeclarationImpl,ASTBasedFieldDeclarationImpl,L3374
64,,0,49,L2760,5,7,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedMemberDeclarationImpl,ASTBasedMemberDeclarationImpl,L3325
40,,0,33,L2760,5,2,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedMethodDeclarationImpl,ASTBasedMethodDeclarationImpl,L3125
33,,2,26,L2760,5,4,org.eclipse.jdt.apt.core.internal.declaration.AnnotationDeclarationImpl,AnnotationDeclarationImpl,L2793
44,,1,31,L2760,6,6,org.eclipse.jdt.apt.core.internal.declaration.AnnotationElementDeclarationImpl,AnnotationElementDeclarationImpl,L2827
244,,4,196,L2760,12,29,org.eclipse.jdt.apt.core.internal.declaration.AnnotationMirrorImpl,AnnotationMirrorImpl,L2872
168,,2,125,L2760,8,42,org.eclipse.jdt.apt.core.internal.declaration.AnnotationValueImpl,AnnotationValueImpl,L3050
116,,2,93,L2760,16,13,org.eclipse.jdt.apt.core.internal.declaration.BinaryParameterDeclarationImpl,BinaryParameterDeclarationImpl,L3441
117,,2,95,L2760,7,12,org.eclipse.jdt.apt.core.internal.declaration.ClassDeclarationImpl,ClassDeclarationImpl,L3510
32,,0,28,L2760,5,2,org.eclipse.jdt.apt.core.internal.declaration.ConstructorDeclarationImpl,ConstructorDeclarationImpl,L3570
83,,1,64,L2760,6,9,org.eclipse.jdt.apt.core.internal.declaration.DeclarationImpl,DeclarationImpl,L3443
155,,2,119,L2760,4,24,org.eclipse.jdt.apt.core.internal.declaration.EclipseDeclarationImpl,EclipseDeclarationImpl,L2885
13,,2,4,L2760,1,9,org.eclipse.jdt.apt.core.internal.declaration.EclipseMirrorObject,EclipseMirrorObject,L2874
22,,0,22,L2874,1,0,org.eclipse.jdt.apt.core.internal.declaration.EclipseMirrorObject$MirrorKind,EclipseMirrorObject$MirrorKind,L2822
6,,1,5,L2760,3,5,org.eclipse.jdt.apt.core.internal.declaration.EclipseMirrorType,EclipseMirrorType,L3679
20,,0,17,L2760,5,1,org.eclipse.jdt.apt.core.internal.declaration.EnumConstantDeclarationImpl,EnumConstantDeclarationImpl,L3688
43,,1,35,L2760,6,3,org.eclipse.jdt.apt.core.internal.declaration.EnumDeclarationImpl,EnumDeclarationImpl,L3707
54,,0,46,L2760,11,0,org.eclipse.jdt.apt.core.internal.declaration.ExecutableDeclarationImpl,ExecutableDeclarationImpl,L3449
181,,0,139,L2760,1,35,org.eclipse.jdt.apt.core.internal.declaration.ExecutableUtil,ExecutableUtil,L3757
78,,0,58,L2760,12,12,org.eclipse.jdt.apt.core.internal.declaration.FieldDeclarationImpl,FieldDeclarationImpl,L3689
32,,2,25,L2760,5,3,org.eclipse.jdt.apt.core.internal.declaration.InterfaceDeclarationImpl,InterfaceDeclarationImpl,L2794
92,,1,75,L2760,5,9,org.eclipse.jdt.apt.core.internal.declaration.MemberDeclarationImpl,MemberDeclarationImpl,L3738
57,,0,51,L2760,6,3,org.eclipse.jdt.apt.core.internal.declaration.MethodDeclarationImpl,MethodDeclarationImpl,L2828
205,,0,160,L2760,20,21,org.eclipse.jdt.apt.core.internal.declaration.PackageDeclarationImpl,PackageDeclarationImpl,L3879
65,,1,47,L2760,13,8,org.eclipse.jdt.apt.core.internal.declaration.PackageDeclarationImplNoBinding,PackageDeclarationImplNoBinding,L4006
87,,2,71,L2760,8,9,org.eclipse.jdt.apt.core.internal.declaration.SourceParameterDeclarationImpl,SourceParameterDeclarationImpl,L4034
350,,3,292,L2760,17,32,org.eclipse.jdt.apt.core.internal.declaration.TypeDeclarationImpl,TypeDeclarationImpl,L3511
133,,2,107,L2760,18,4,org.eclipse.jdt.apt.core.internal.declaration.TypeParameterDeclarationImpl,TypeParameterDeclarationImpl,L4177
102,,0,82,L4228,16,4,org.eclipse.jdt.apt.core.internal.env.APTProblem,APTProblem,L4260
304,,6,216,L4228,18,57,org.eclipse.jdt.apt.core.internal.env.AbstractCompilationEnv,AbstractCompilationEnv,L2233
3,,0,3,L2233,2,0,org.eclipse.jdt.apt.core.internal.env.AbstractCompilationEnv$EnvCallback,AbstractCompilationEnv$EnvCallback,L2218
278,,0,246,L4228,3,28,org.eclipse.jdt.apt.core.internal.env.AnnotationInvocationHandler,AnnotationInvocationHandler,L3616
864,,9,621,L4228,27,200,org.eclipse.jdt.apt.core.internal.env.BaseProcessorEnv,BaseProcessorEnv,L1603
17,,0,16,L4853,3,0,org.eclipse.jdt.apt.core.internal.env.BaseProcessorEnv$1BindingRequestor,BaseProcessorEnv$1BindingRequestor,L4860
8,,0,8,L1601,2,0,org.eclipse.jdt.apt.core.internal.env.BaseProcessorEnv$1CompilationUnitRequestor,BaseProcessorEnv$1CompilationUnitRequestor,L4986
22,,0,19,L1603,2,1,org.eclipse.jdt.apt.core.internal.env.BaseProcessorEnv$BaseRequestor,BaseProcessorEnv$BaseRequestor,L4962
90,,1,77,L4228,2,10,org.eclipse.jdt.apt.core.internal.env.BinaryFileOutputStream,BinaryFileOutputStream,L5049
547,,8,366,L4228,14,135,org.eclipse.jdt.apt.core.internal.env.BuildEnv,BuildEnv,L2341
14,,0,14,L5217,2,1,org.eclipse.jdt.apt.core.internal.env.BuildEnv$1,BuildEnv$1,L5263
11,,0,9,L2341,2,2,org.eclipse.jdt.apt.core.internal.env.BuildEnv$CallbackRequestor,BuildEnv$CallbackRequestor,L5225
158,,4,94,L4228,2,58,org.eclipse.jdt.apt.core.internal.env.BuildFilerImpl,BuildFilerImpl,L5104
10,,0,8,L4228,2,0,org.eclipse.jdt.apt.core.internal.env.EclipseRoundCompleteEvent,EclipseRoundCompleteEvent,L2478
12,,0,11,L2478,5,1,org.eclipse.jdt.apt.core.internal.env.EclipseRoundCompleteEvent$State,EclipseRoundCompleteEvent$State,L5347
39,,1,30,L4228,2,9,org.eclipse.jdt.apt.core.internal.env.EncodedFileOutputStream,EncodedFileOutputStream,L5324
113,,1,75,L4228,0,27,org.eclipse.jdt.apt.core.internal.env.EnvUtil,EnvUtil,L5370
83,,1,59,L5370,2,21,org.eclipse.jdt.apt.core.internal.env.EnvUtil$EndingOffsetFinder,EnvUtil$EndingOffsetFinder,L5392
75,,1,48,L4228,1,19,org.eclipse.jdt.apt.core.internal.env.FilerImpl,FilerImpl,L5274
11,,0,11,L4228,1,9,org.eclipse.jdt.apt.core.internal.env.ITypeConstants,ITypeConstants,L5444
51,,1,42,L4228,2,7,org.eclipse.jdt.apt.core.internal.env.JavaSourceFilePrintWriter,JavaSourceFilePrintWriter,L5426
49,,2,40,L4228,2,8,org.eclipse.jdt.apt.core.internal.env.MarkerInfo,MarkerInfo,L5122
211,,0,180,L4228,19,22,org.eclipse.jdt.apt.core.internal.env.MessagerImpl,MessagerImpl,L4341
5,,0,5,L4341,1,0,org.eclipse.jdt.apt.core.internal.env.MessagerImpl$Severity,MessagerImpl$Severity,L4351
18,,1,14,L4228,4,3,org.eclipse.jdt.apt.core.internal.env.NoOpOutputStream,NoOpOutputStream,L5293
6,,0,5,L4228,2,0,org.eclipse.jdt.apt.core.internal.env.NoOpPrintWriter,NoOpPrintWriter,L5315
103,,1,64,L4228,4,24,org.eclipse.jdt.apt.core.internal.env.ReconcileEnv,ReconcileEnv,L2236
15,,0,10,L2236,3,3,org.eclipse.jdt.apt.core.internal.env.ReconcileEnv$CallbackRequestor,ReconcileEnv$CallbackRequestor,L5650
33,,1,24,L4228,4,6,org.eclipse.jdt.apt.core.internal.env.ReconcileFilerImpl,ReconcileFilerImpl,L5645
5,,0,5,L5645,2,0,org.eclipse.jdt.apt.core.internal.env.ReconcileFilerImpl$1,ReconcileFilerImpl$1,L5668
12,,0,12,L5645,4,0,org.eclipse.jdt.apt.core.internal.env.ReconcileFilerImpl$NoOpWriter,ReconcileFilerImpl$NoOpWriter,L5672
193,,5,130,L5812,0,45,org.eclipse.jdt.apt.core.internal.generatedfile.ClasspathUtil,ClasspathUtil,L5822
153,,6,95,L5812,0,79,org.eclipse.jdt.apt.core.internal.generatedfile.CompilationUnitHelper,CompilationUnitHelper,L5883
18,,1,14,L5812,3,7,org.eclipse.jdt.apt.core.internal.generatedfile.FileGenerationResult,FileGenerationResult,L5460
1358,,19,695,L5812,0,686,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedFileManager,GeneratedFileManager,L2223
31,,3,15,L2223,0,14,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedFileManager$GeneratedPackageFragmentRoot,GeneratedFileManager$GeneratedPackageFragmentRoot,L5951
8,,1,8,L5951,0,1,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedFileManager$GeneratedPackageFragmentRoot$NameAndRoot,GeneratedFileManager$GeneratedPackageFragmentRoot$NameAndRoot,L5954
321,,11,197,L5812,2,99,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedFileMap,GeneratedFileMap,L6011
4,,0,3,L6011,1,1,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedFileMap$Flags,GeneratedFileMap$Flags,L6307
93,,1,68,L5812,2,24,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedResourceChangeListener,GeneratedResourceChangeListener,L2609
15,,1,12,L2609,1,6,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedResourceChangeListener$PostChangeVisitor,GeneratedResourceChangeListener$PostChangeVisitor,L6471
73,,0,61,L2609,2,7,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedResourceChangeListener$PreBuildVisitor,GeneratedResourceChangeListener$PreBuildVisitor,L6459
424,,10,233,L5812,0,195,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedSourceFolderManager,GeneratedSourceFolderManager,L2697
28,,0,25,L6528,2,3,org.eclipse.jdt.apt.core.internal.generatedfile.GeneratedSourceFolderManager$1,GeneratedSourceFolderManager$1,L6545
46,,1,37,L5812,1,8,org.eclipse.jdt.apt.core.internal.generatedfile.WorkingCopyCleanupListener,WorkingCopyCleanupListener,L6004
84,,0,70,L6843,12,8,org.eclipse.jdt.apt.core.internal.type.ArrayTypeImpl,ArrayTypeImpl,L6850
41,,1,26,L6843,10,3,org.eclipse.jdt.apt.core.internal.type.ErrorType,ErrorType,L6883
11,,0,9,L6883,4,0,org.eclipse.jdt.apt.core.internal.type.ErrorType$ErrorAnnotation,ErrorType$ErrorAnnotation,L6915
29,,0,25,L6883,6,1,org.eclipse.jdt.apt.core.internal.type.ErrorType$ErrorArrayType,ErrorType$ErrorArrayType,L6924
17,,0,13,L6883,5,0,org.eclipse.jdt.apt.core.internal.type.ErrorType$ErrorClass,ErrorType$ErrorClass,L6899
11,,0,9,L6883,4,0,org.eclipse.jdt.apt.core.internal.type.ErrorType$ErrorInterface,ErrorType$ErrorInterface,L6909
62,,0,54,L6843,11,9,org.eclipse.jdt.apt.core.internal.type.PrimitiveTypeImpl,PrimitiveTypeImpl,L4703
30,,0,22,L6843,9,2,org.eclipse.jdt.apt.core.internal.type.VoidTypeImpl,VoidTypeImpl,L4699
66,,0,53,L6843,13,3,org.eclipse.jdt.apt.core.internal.type.WildcardTypeImpl,WildcardTypeImpl,L6990
100,,1,77,L7023,2,12,org.eclipse.jdt.apt.core.internal.util.AnnotationScanner,AnnotationScanner,L7043
9,,0,9,L7043,1,0,org.eclipse.jdt.apt.core.internal.util.AnnotationScanner$State,AnnotationScanner$State,L7045
11,,1,9,L7023,1,3,org.eclipse.jdt.apt.core.internal.util.AptCorePreferenceInitializer,AptCorePreferenceInitializer,L7075
17,,0,13,L7023,2,0,org.eclipse.jdt.apt.core.internal.util.CharArrayAnnotationScanner,CharArrayAnnotationScanner,L7081
125,,0,89,L7023,3,22,org.eclipse.jdt.apt.core.internal.util.DeclarationsUtil,DeclarationsUtil,L4751
668,,5,506,L7023,15,198,org.eclipse.jdt.apt.core.internal.util.Factory,Factory,L7127
70,,4,30,L7023,4,35,org.eclipse.jdt.apt.core.internal.util.FactoryContainer,FactoryContainer,L1843
6,,0,6,L1843,1,4,org.eclipse.jdt.apt.core.internal.util.FactoryContainer$FactoryType,FactoryContainer$FactoryType,L5718
168,,12,92,L7023,1,66,org.eclipse.jdt.apt.core.internal.util.FactoryPath,FactoryPath,L1665
44,,5,33,L1665,4,12,org.eclipse.jdt.apt.core.internal.util.FactoryPath$Attributes,FactoryPath$Attributes,L1658
394,,10,262,L7023,3,120,org.eclipse.jdt.apt.core.internal.util.FactoryPathUtil,FactoryPathUtil,L7407
185,,6,134,L7023,3,47,org.eclipse.jdt.apt.core.internal.util.FileSystemUtil,FileSystemUtil,L7571
14,,0,10,L7023,2,0,org.eclipse.jdt.apt.core.internal.util.InputStreamAnnotationScanner,InputStreamAnnotationScanner,L7609
328,,17,182,L7023,0,150,org.eclipse.jdt.apt.core.internal.util.ManyToMany,"ManyToMany<T1 extends Object, T2 extends Object>",L6019
17,,1,11,L7023,0,4,org.eclipse.jdt.apt.core.internal.util.Messages,Messages,L7679
26,,1,20,L7023,1,5,org.eclipse.jdt.apt.core.internal.util.PackageUtil,PackageUtil,L7687
13,,0,10,L7023,2,0,org.eclipse.jdt.apt.core.internal.util.ReaderAnnotationScanner,ReaderAnnotationScanner,L7699
113,,1,91,L7023,3,29,org.eclipse.jdt.apt.core.internal.util.ScannerUtil,ScannerUtil,L7707
91,,1,81,L7023,11,9,org.eclipse.jdt.apt.core.internal.util.SourcePositionImpl,SourcePositionImpl,L2952
278,,2,212,L7023,12,49,org.eclipse.jdt.apt.core.internal.util.TypesUtil,TypesUtil,L4745
27,,1,3,L7023,0,4,org.eclipse.jdt.apt.core.internal.util.Visitors,Visitors,L7851
134,,12,86,L7851,3,41,org.eclipse.jdt.apt.core.internal.util.Visitors$AnnotatedNodeVisitor,Visitors$AnnotatedNodeVisitor,L4798
36,,3,27,L7851,8,9,org.eclipse.jdt.apt.core.internal.util.Visitors$AnnotationVisitor,Visitors$AnnotationVisitor,L4393
99,,4,69,L7851,11,25,org.eclipse.jdt.apt.core.internal.util.Visitors$DeclarationFinder,Visitors$DeclarationFinder,L7952
83,,2,59,L7851,2,21,org.eclipse.jdt.apt.core.internal.util.Visitors$EndingOffsetFinder,Visitors$EndingOffsetFinder,L7994
757,,18,437,L8034,3,291,org.eclipse.jdt.apt.core.util.AptConfig,AptConfig,L8041
118,,1,83,L8041,2,38,org.eclipse.jdt.apt.core.util.AptConfig$ProcessorOptionsParser,AptConfig$ProcessorOptionsParser,L8126
65,,1,30,L8034,0,43,org.eclipse.jdt.apt.core.util.AptPreferenceConstants,AptPreferenceConstants,L8227
44,,1,28,L8034,1,10,org.eclipse.jdt.apt.core.util.AptUtil,AptUtil,L8245
140,,10,14,L8034,0,120,org.eclipse.jdt.apt.core.util.EclipseMessager,EclipseMessager,L1566
73,,9,10,L8034,0,66,org.eclipse.jdt.apt.core.util.IFactoryPath,IFactoryPath,L7322
22,,0,15,L8327,4,2,org.eclipse.jdt.apt.pluggable.tests.Apt6TestsPlugin,Apt6TestsPlugin,L8384
163,,5,102,L8327,2,36,org.eclipse.jdt.apt.pluggable.tests.FilerTests,FilerTests,L8394
147,,3,94,L8327,0,48,org.eclipse.jdt.apt.pluggable.tests.IdeTestUtils,IdeTestUtils,L8466
57,,4,42,L8327,2,18,org.eclipse.jdt.apt.pluggable.tests.InfrastructureTests,InfrastructureTests,L8523
89,,7,55,L8327,5,21,org.eclipse.jdt.apt.pluggable.tests.ProcessorTestStatus,ProcessorTestStatus,L8789
87,,2,60,L8327,3,17,org.eclipse.jdt.apt.pluggable.tests.ScalingTests,ScalingTests,L8829
